gene_id	Zscore
ANO8|57719	-0.072072841
ANO9|338440	0.457298123
ANP32A|8125	-0.396654522
ANP32B|10541	-0.299928702
ANP32C|23520	-0.412886229
ANP32D|23519	0.200537253
ANP32E|81611	0.01494208
ANPEP|290	-0.102950353
ANTXR1|84168	-0.099693424
ANTXR2|118429	0.033730143
ANTXRL|195977	-0.251485271
ANUBL1|93550	-0.055427762
ANXA10|11199	-0.09026295
ANXA11|311	-0.220170744
ANXA13|312	0.30630786
ANXA1|301	0.083633708
ANXA2P1|303	-0.233437659
ANXA2P2|304	-0.47734692
ANXA2P3|305	0.28124151
ANXA2|302	0.18753132
ANXA3|306	-0.589500538
ANXA4|307	-0.306542769
ANXA5|308	-0.136285232
ANXA6|309	-0.085510032
ANXA7|310	-0.034628434
ANXA8L1|728113	0.072753322
ANXA8L2|244	-0.348473475
ANXA8|653145	0.468293952
ANXA9|8416	-0.69932814
AOAH|313	0.043602454
AOC2|314	-0.346222291
AOC3|8639	0.281262731
AOX1|316	-0.326578638
AOX2P|344454	0.025437161
AP1AR|55435	-0.286471512
AP1B1|162	-0.31747317
AP1G1|164	0.148756506
AP1G2|8906	0.134829423
AP1M1|8907	-0.147781829
AP1M2|10053	-0.064709044
AP1S1|1174	0.286415785
AP1S2|8905	-0.081995362
AP1S3|130340	0.04428023
AP2A1|160	-0.293321629
AP2A2|161	0.279011101
AP2B1|163	0.489458203
AP2M1|1173	-0.226193354
AP2S1|1175	-0.307738469
AP3B1|8546	-0.205461322
AP3B2|8120	0.577049591
AP3D1|8943	0.47778906
AP3M1|26985	-0.315862088
AP3M2|10947	-0.276409231
AP3S1|1176	0.31455806
AP3S2|10239	-0.353387581
AP4B1|10717	-0.352746286
AP4E1|23431	-0.029773629
AP4M1|9179	-0.016778529
AP4S1|11154	0.442606694
APAF1|317	-0.420301693
APBA1|320	-0.431555678
APBA2|321	0.250277173
APBA3|9546	0.638765186
APBB1IP|54518	0.445082561
APBB1|322	-0.076951672
APBB2|323	-0.283604439
APBB3|10307	-0.042239652
APC2|10297	-0.426335325
APCDD1L|164284	0.185149829
APCDD1|147495	-0.043071433
APCS|325	0.283622427
APC|324	-0.144905125
APEH|327	-0.175059916
APEX1|328	-0.339297708
APEX2|27301	-0.682037839
APH1A|51107	-0.434845607
APH1B|83464	-0.172651231
API5|8539	-0.098749024
APIP|51074	0.534515158
APITD1|378708	0.024312631
APLF|200558	-0.103828739
APLNR|187	-0.500640729
APLN|8862	0.063291672
APLP1|333	-0.281601106
APLP2|334	-0.120520603
APOA1BP|128240	0.521482653
APOA1|335	-0.051887256
APOA2|336	0.305161301
APOA4|337	0.616833372
APOA5|116519	-0.3812105
APOB48R|55911	0.035110826
APOBEC1|339	-0.039452876
APOBEC2|10930	-0.13810884
APOBEC3A|200315	-0.067455586
APOBEC3B|9582	-0.056554758
APOBEC3C|27350	0.221069636
APOBEC3D|140564	0.371184087
APOBEC3F|200316	-0.211664911
APOBEC3G|60489	-0.209902183
APOBEC3H|164668	-0.117724494
APOBEC4|403314	0.436886281
APOB|338	-0.472551886
APOC1P1|342	0.11741906
APOC1|341	-0.19186354
APOC2|344	-0.306457389
APOC3|345	0.679608321
APOC4|346	-0.317266073
APOD|347	-0.396638966
APOE|348	-0.436482432
APOF|319	0.169057276
APOH|350	0.983195661
APOL1|8542	0.011759829
APOL2|23780	-0.466484377
APOL3|80833	0.260700579
APOL4|80832	-0.600190229
APOL5|80831	0.22031465
APOL6|80830	-0.20164154
APOLD1|81575	0.00550734
APOM|55937	-0.196377278
APOOL|139322	-0.029920519
APOO|79135	0.41809641
APPBP2|10513	0.344114442
APPL1|26060	0.268731601
APPL2|55198	0.611599595
APP|351	0.163137813
APRT|353	0.01233136
APTX|54840	0.107054546
AQP10|89872	0.576147477
AQP11|282679	-0.374218651
AQP12A|375318	-0.511683967
AQP12B|653437	-0.117816861
AQP1|358	-0.081616705
AQP2|359	-0.283291215
AQP3|360	0.260077249
AQP4|361	0.427812969
AQP5|362	-0.258329825
AQP6|363	-0.193642393
AQP7P1|375719	0.403906334
AQP7P3|441432	-0.005852431
AQP7|364	0.154663284
AQP8|343	0.153240095
AQP9|366	0.118439272
AQPEP|206338	-0.017289265
AQR|9716	0.182820079
ARAF|369	-0.381177143
ARAP1|116985	-0.103803457
ARAP2|116984	-0.337357875
ARAP3|64411	-0.139170771
ARCN1|372	0.385802276
ARC|23237	-0.193564401
AREG|374	0.08691801
ARF1|375	0.102714179
ARF3|377	-0.118523045
ARF4|378	-0.3256608
ARF5|381	0.215098157
ARF6|382	0.091093852
ARFGAP1|55738	0.356692418
ARFGAP2|84364	0.11291887
ARFGAP3|26286	-0.512037408
ARFGEF1|10565	0.335202402
ARFGEF2|10564	0.487795861
